attraction_id,name,category,x,y,cost,visit_duration,opening_time,closing_time,priority_score
0,Adventure World,entertainment,3.7,11.8,41.0,120,11:00,22:00,3.8
1,Riverside Park,park,12.3,4.2,9.0,60,07:00,20:00,5.0
2,Fusion Kitchen,restaurant,10.0,5.1,30.0,45,11:00,23:00,6.7
3,Zen Garden,park,7.4,12.7,9.0,60,08:00,19:00,4.2
4,Skyline Tower,landmark,14.5,6.3,12.0,45,08:00,19:00,5.6
5,Old Cathedral,landmark,13.2,8.9,1.0,60,09:00,19:00,9.6
6,City Aquarium,entertainment,5.4,13.5,38.0,150,10:00,21:00,7.8
7,Victory Bridge,landmark,11.1,6.5,2.0,60,08:00,19:00,9.1
8,Old Town Market,market,5.2,9.4,1.0,60,08:00,14:00,6.4
9,Comedy Theater,entertainment,6.0,8.5,78.0,180,11:00,22:00,2.1
10,Botanical Garden,park,9.2,15.9,2.0,45,07:00,19:00,6.7
11,Hilltop Park,park,10.2,16.3,1.0,60,08:00,21:00,6.1
12,Night Bazaar,market,4.6,8.6,1.0,60,09:00,16:00,6.0
13,Escape Room Center,entertainment,12.6,3.2,66.0,225,10:00,22:00,8.5
14,City History Museum,museum,1.2,6.4,23.0,60,10:00,16:00,5.9
15,Lakeside Park,park,10.3,8.4,7.0,60,08:00,20:00,8.5
16,Flower Market,market,2.6,8.7,0.0,45,09:00,15:00,5.4
17,Harbor Grill,restaurant,16.1,6.5,12.0,75,11:00,23:00,8.3
18,Concert Hall,entertainment,14.6,5.0,58.0,165,10:00,23:00,7.6
19,Modern Art Gallery,museum,12.3,5.0,24.0,120,10:00,18:00,3.3
20,Craft Market,market,8.3,16.8,4.0,30,08:00,16:00,2.6
21,Lighthouse Point,landmark,1.9,13.5,8.0,60,09:00,20:00,7.2
22,Spice Market,market,9.7,13.2,2.0,75,08:00,15:00,4.0
23,Clock Tower,landmark,2.6,12.6,10.0,60,09:00,18:00,4.7
24,Noodle House,restaurant,11.5,8.0,15.0,60,12:00,23:00,7.2
25,Adventure World 2,entertainment,9.2,18.7,31.0,225,10:00,22:00,3.0
26,Old Town Market 2,market,5.6,9.8,4.0,60,08:00,14:00,2.0
27,Science Center,museum,9.6,15.2,33.0,120,09:00,16:00,3.6
28,Rooftop Bistro,restaurant,12.5,16.7,12.0,60,12:00,21:00,1.9
29,Skyline Tower 2,landmark,5.7,13.3,3.0,60,08:00,19:00,7.8
30,Old Cathedral 3,landmark,1.8,8.1,6.0,45,09:00,18:00,6.5
31,Street Food Alley,restaurant,2.5,8.7,28.0,90,12:00,22:00,2.8
32,War Memorial Museum,museum,1.4,11.2,20.0,60,09:00,16:00,6.5
33,Night Bazaar 3,market,5.6,8.7,2.0,45,08:00,14:00,4.7
34,Riverside Park 2,park,6.6,15.4,1.0,75,07:00,21:00,2.4
35,Natural History Museum,museum,11.2,19.6,33.0,120,09:00,18:00,8.8
36,City Aquarium 3,entertainment,13.5,13.4,79.0,225,10:00,23:00,7.5
37,Flower Market 4,market,10.3,2.0,3.0,60,09:00,16:00,4.8
38,Zen Garden 3,park,9.8,12.6,5.0,45,08:00,21:00,5.2
39,Comedy Theater 4,entertainment,3.8,8.1,46.0,210,11:00,21:00,3.0
40,City History Museum 2,museum,12.5,10.0,25.0,75,09:00,17:00,4.1
41,Modern Art Gallery 3,museum,9.5,14.3,22.0,105,09:00,18:00,5.2
42,Fusion Kitchen 2,restaurant,6.5,10.5,24.0,60,11:00,21:00,8.1
43,Science Center 4,museum,7.9,14.5,33.0,135,09:00,18:00,6.2
44,Harbor Grill 3,restaurant,13.5,15.0,27.0,60,11:00,22:00,7.1
45,War Memorial Museum 5,museum,7.3,8.4,26.0,135,10:00,16:00,7.6
46,Victory Bridge 4,landmark,6.2,12.2,3.0,30,09:00,20:00,9.0
47,Botanical Garden 4,park,11.0,12.7,1.0,120,08:00,20:00,7.1
48,Hilltop Park 5,park,4.1,14.5,1.0,45,08:00,21:00,3.0
49,Noodle House 4,restaurant,6.9,17.0,29.0,45,12:00,22:00,7.0
