attraction_id,name,category,x,y,cost,visit_duration,opening_time,closing_time,priority_score
0,Skyline Tower,landmark,2.9,13.3,4.0,60,09:00,18:00,5.0
1,Old Cathedral,landmark,1.9,16.1,4.0,45,09:00,18:00,8.5
2,Fusion Kitchen,restaurant,9.0,10.5,23.0,75,11:00,22:00,7.2
3,Riverside Park,park,12.4,7.1,2.0,75,07:00,19:00,7.1
4,City History Museum,museum,13.5,15.5,24.0,60,10:00,16:00,6.0
5,Old Town Market,market,7.5,9.1,1.0,45,09:00,15:00,3.7
6,Modern Art Gallery,museum,12.4,13.9,21.0,105,10:00,17:00,5.0
7,Zen Garden,park,4.4,16.8,1.0,75,07:00,20:00,8.4
8,Victory Bridge,landmark,12.4,15.3,10.0,60,08:00,18:00,9.8
9,Science Center,museum,12.0,14.3,31.0,75,10:00,18:00,4.4
10,Night Bazaar,market,16.1,5.6,0.0,45,08:00,16:00,4.2
11,Adventure World,entertainment,5.4,9.6,36.0,210,10:00,23:00,3.2
12,City Aquarium,entertainment,4.6,10.1,72.0,195,10:00,23:00,7.0
13,War Memorial Museum,museum,9.9,8.6,24.0,90,10:00,16:00,7.0
14,Harbor Grill,restaurant,16.9,5.0,12.0,75,12:00,22:00,1.8
15,Flower Market,market,3.1,15.0,2.0,30,08:00,15:00,1.7
16,Comedy Theater,entertainment,16.0,11.0,57.0,135,11:00,21:00,8.5
17,Botanical Garden,park,5.9,13.7,6.0,75,07:00,20:00,2.2
18,Hilltop Park,park,2.7,16.7,10.0,90,07:00,20:00,7.5
19,Noodle House,restaurant,11.4,10.4,12.0,60,11:00,23:00,8.1
